Wavelength,Long,Medium,Short
393,0.0006465492690723769,0.0005725460862045869,0.009602097635258147
394,0.0007474240091905321,0.0006716108857237892,0.01101612673797058
395,0.0009037644677001464,0.0008213094692642271,0.013413569057510285
396,0.0011155706446012205,0.001021641836825901,0.016794424593877273
397,0.0013828425398937536,0.0012726079884088106,0.021158693347071534
398,0.001705580153577746,0.0015742079240129556,0.026506375317093066
399,0.002083783485653198,0.0019264416436383367,0.032837470503941875
400,0.0025174525361201096,0.0023293091472849532,0.040151978907617965
401,0.0030065873049784798,0.0027828104349528057,0.04844990052812133
402,0.0035511877922283107,0.0032869455066418946,0.057731235365451966
403,0.004151253997869601,0.003841714362352219,0.0679959834196099
404,0.0048067859219023505,0.004447117002083779,0.07924414469059508
405,0.005522931505860862,0.005124116977542723,0.09186085207201572
406,0.0063067097455852435,0.005901297185647903,0.10637121762276178
407,0.007158161316169096,0.006778823264338727,0.12277828436816542
408,0.008077286217612422,0.00775669521361519,0.14108205230822665
409,0.009064084449915223,0.008834913033477295,0.1612825214429455
410,0.010118556013077495,0.010013476723925043,0.18337969177232197
411,0.011240700907099239,0.011292386284958437,0.20737356329635603
412,0.01243051913198046,0.01267164171657747,0.23326413601504772
413,0.013680262522895423,0.014149593151628575,0.2607847398080644
414,0.014956301572127732,0.015719079640206843,0.28877794126102085
415,0.016254738102106186,0.01737927111799664,0.3171095760259237
416,0.017575572112830784,0.019130167584997963,0.34577964410277295
417,0.018918803604301534,0.020971769041210807,0.3747881454915688
418,0.020284432576518432,0.022904075486635186,0.404135080192311
419,0.021672459029481478,0.024927086921271092,0.43382044820499976
420,0.023082882963190672,0.02704080334511852,0.46384424952963493
421,0.02451570437764601,0.02924522475817748,0.49420648416621654
422,0.025984194337917044,0.03156756731980758,0.5246196390924496
423,0.027507636987598214,0.034047378746972744,0.5546659300251465
424,0.02908619359699479,0.036684989771102974,0.5843418630990727
425,0.03071986416610677,0.039480400392198266,0.6136474383142281
426,0.03240864869493416,0.04243361061025864,0.6425826556706128
427,0.03415254718347695,0.045544620425284066,0.6711475151682269
428,0.03595155963173514,0.04881342983727457,0.6993420168070702
429,0.037805686039708734,0.052240038846230116,0.7271661605871425
430,0.039714926407397724,0.05582444745215074,0.7546199465084442
431,0.04165794604021838,0.059529095583729374,0.7813684879768894
432,0.04359674240499239,0.06328707917302062,0.8068152665444285
433,0.045530572572364494,0.06709709028100289,0.8309486205919807
434,0.047459436542334664,0.0709591289076761,0.8537685501195458
435,0.04938333431490293,0.07487319505304035,0.8752750551271247
436,0.051302265890069254,0.07883928871709557,0.8954681356147164
437,0.053216231267833654,0.08285740989984176,0.9143477915823209
438,0.055125230448196144,0.08692755860127896,0.931914023029939
439,0.05702926343115671,0.09104973482140717,0.9481668299575703
440,0.05892903781558649,0.09521987351259449,0.9630130263029464
441,0.060831537712905906,0.09939785201955101,0.9755328510711595
442,0.06273854638283254,0.10357342578708079,0.9854914608249714
443,0.06465006382536637,0.10774659481518382,0.9928888555643819
444,0.06656609004050743,0.11191735910386008,0.9977250352893915
445,0.0684866250282557,0.11608571865310961,1.0
446,0.07041166878861117,0.12025167346293239,0.9997137496962074
447,0.07234122132157386,0.12441522353332843,0.9968662843780138
448,0.07427528262714375,0.1285763688642977,0.9914576040454189
449,0.07621385270532087,0.13273510945584024,0.9834877086984227
450,0.07817984056052575,0.13693092502354245,0.9732214837097596
451,0.08030796030235303,0.14139597208693902,0.9622165610252552
452,0.08262021373864821,0.1461681669648792,0.9507273365568829
453,0.0851166008694113,0.15124750965736294,0.9387538103046431
454,0.08779712169464228,0.15663400016439027,0.9262959822685357
455,0.09066177621434117,0.16232763848596113,0.9133538524485606
456,0.09371056442850798,0.1683284246220757,0.8999274208447181
457,0.09694348633714266,0.17463635857273374,0.8860166874570078
458,0.10036054194024525,0.1812514403379354,0.8716216522854298
459,0.10396173123781578,0.18817366991768067,0.8567423153299845
