Wavelength,X,Y,Z
393,0.004616419098082415,0.0006481601922300694,0.02061454609002931
394,0.005287365349199599,0.0007526907287240015,0.023650296112344572
395,0.00642103149378384,0.0009133554981838445,0.0287973157607247
396,0.008017417531835139,0.0011301545006095989,0.03605560503516971
397,0.010076523463353497,0.0014030877360012642,0.045425163935679594
398,0.012598349288338907,0.0017321552043588406,0.05690599246225434
399,0.015582895006791376,0.002117356905682328,0.07049809061489395
400,0.019030160618710906,0.002558692839971727,0.08620145839359847
401,0.02294014612409749,0.0030561630072270364,0.10401609579836783
402,0.027312851522951133,0.003609767407448258,0.12394200282920208
403,0.03214827681527184,0.0042195060406353905,0.14597917948610123
404,0.03744642200105959,0.004885378906788434,0.1701276257690652
405,0.04335482316017306,0.005618283146207843,0.19721417557290047
406,0.05007463936248373,0.006433076538829198,0.22836618118578514
407,0.057607036325165756,0.007329845185514133,0.2635901756162706
408,0.06595201404821917,0.008308589086262648,0.3028861588643569
409,0.07510957253164396,0.009369308241074743,0.34625413093004404
410,0.08507971177544013,0.010512002649950418,0.39369409181333215
411,0.09586243177960767,0.011736672312889673,0.44520604151422105
412,0.10745773254414662,0.01304331722989251,0.5007899800327109
413,0.11973801748277882,0.014425992249307483,0.5598733987675304
414,0.13214947669608423,0.015858893515920597,0.6199714277065927
415,0.14462791509245365,0.017339029965738464,0.6807960321682683
416,0.15717333267188704,0.018866401598761087,0.742347212152557
417,0.16978572943438458,0.02044100841498847,0.8046249676594592
418,0.1824651053799461,0.02206285041442061,0.8676292986889745
419,0.19521146050857172,0.023731927597057514,0.9313602052411034
420,0.20802479482026134,0.02544823996289917,0.9958176873158454
421,0.220905108315015,0.027211787511945584,1.0610017449132008
422,0.23371773479979982,0.029041281788654116,1.1262951222339967
423,0.24626699124615087,0.030963912480385852,1.190800886786125
424,0.2585512411872174,0.0329799069702838,1.2545115376621125
425,0.27057048462299943,0.035089265258347976,1.317427074861959
426,0.282324721553497,0.037291987344578365,1.3795474983856646
427,0.2938139519787102,0.03958807322897498,1.4408728082332298
428,0.3050381758986388,0.0419775229115378,1.5014030044046538
429,0.31599739331328286,0.04446033639226683,1.561138086899936
430,0.3266916042226425,0.047036513671162086,1.6200780557190781
431,0.33698585052408736,0.0496781393898362,1.677503949715156
432,0.34663973741127263,0.05233548917425912,1.732135115690506
433,0.3556485652933144,0.055007590939307835,1.7839465175547704
434,0.3640123341702124,0.05769444468498231,1.832938155307948
435,0.3717310440419671,0.060396050411282584,1.8791100289500413
436,0.3788046949085781,0.06311240811820862,1.9224621384810479
437,0.3852332867700454,0.06584351780576041,1.9629944839009679
438,0.39101681962636925,0.06858937947393799,2.0007070652098027
439,0.3961552934775495,0.07134999312274137,2.0355998824075523
440,0.4006154432598712,0.07412442755623697,2.067472876252105
441,0.40406893759680024,0.07690349172506143,2.0943514307645827
442,0.4064319433301084,0.07968483886996292,2.1157313653956114
443,0.40770446045979547,0.08246846899094137,2.1316126801451896
444,0.40788648898586194,0.08525438208799681,2.1419953750133196
445,0.4069780289083075,0.08804257816112926,2.14687945
446,0.40497908022713214,0.09083305721033869,2.1462649051052316
447,0.4018896429423361,0.09362581923562513,2.140151740329014
448,0.397709717053919,0.09642086423698853,2.128539955671347
449,0.39243930256188103,0.09921819221442896,2.1114295511322303
450,0.38618369445961276,0.10204748052299006,2.0893892036749926
451,0.37956206942624776,0.10508324388127097,2.0657629613147916
452,0.37267555277343817,0.10835398442105568,2.0410969814072057
453,0.3655241445011841,0.1118597021423442,2.0153912639522367
454,0.3581078446094855,0.11560039704513649,1.9886458089498837
455,0.3504266530983424,0.11957606912943256,1.960860616400147
456,0.3424805699677549,0.12378671839523248,1.932035686303027
457,0.33426959521772276,0.12823234484253612,1.902171018658523
458,0.3257937288482461,0.1329129484713436,1.8712666134666347
459,0.31705297085932505,0.1378285292816549,1.8393224707273637
460,0.30804380236811224,0.14297718897949724,1.806308406293587
461,0.2986086384536756,0.1482739169184299,1.7708726938805706
462,0.2886625591258788,0.15367290222254829,1.7322869098416351
463,0.27820556438472205,0.1591741448918524,1.6905510541767819
464,0.26723765423020507,0.16477764492634225,1.6456651268860092
465,0.2557588286623278,0.17048340232601783,1.5976291279693182
466,0.24376908768109057,0.17629141709087914,1.5464430574267087
467,0.23126843128649288,0.1822016892209262,1.4921069152581798
468,0.21826375971683593,0.18821273191656882,1.4346508860926572
469,0.20515080081044124,0.1942392773997682,1.3758060547759459
470,0.19215916555765317,0.20023185121595238,1.316576839161239
471,0.17928885395847166,0.20619045336512137,1.2569632392485361
472,0.1665398660128967,0.2121150838472751,1.196965255037837
473,0.15391220172092843,0.21800574266241365,1.136582886529142
474,0.14148854482570541,0.22395962471462427,1.0763995921468439
475,0.12959607582441748,0.2303613313274141,1.0187241234076978
476,0.11826840999778993,0.23725037732996151,0.9637936867803872
477,0.10750554734582266,0.24462676272226647,0.9116082822649116
478,0.09730748786851556,0.2524904875043289,0.8621679098612716
479,0.0876742315658689,0.26084155167614886,0.8154725695694668
480,0.07857303167056806,0.26937615499816425,0.7709221869721148
481,0.06996278562031266,0.27771297835714837,0.7277635702842595
482,0.06184336424702777,0.28585082342742374,0.6859943525407399
483,0.054214767550713805,0.29378969020899054,0.6456145337415565
484,0.04707699553137014,0.3015295787018486,0.6066241138867094
485,0.040430636113066215,0.3090785919695622,0.5690297448628732
486,0.034316194613137646,0.31699499455403557,0.5332897116678047
487,0.028758351500408383,0.3256189450203161,0.4996832539012249
488,0.02375710677487794,0.33495044336840385,0.4682103715631338
